start,end,title
20220302,20220302,개강
20220302,20220308,수강신청 확인 및 정정
20220302,20220308,학교현장실습(복학생) 신청
20220310,20220315,수강학점철회 신청
20220316,20220322,학점포기 신청
20220321,20220321,휴학신청 마감
20220404,20220408,2021학년도 후기 예비졸업사정
20220404,20220429,교직 학교현장실습(1차)
20220411,20220415,교직 이수희망자 및 교직 복수전공희망자 신청
20220414,20220420,다전공.트랙 신청 및 포기. 본전공 신청
20220418,20220422,조기졸업. 부전공신청
20220419,20220425,1학기 중간시험
20220502,20220527,교직 학교현장실습(2차)
20220509,20220513,2학기 재입학 신청
20220516,20220527,사회봉사학점 인정 신청(국제)
20220518,20220518,개교기념일(72주년)
20220530,20220603,졸업능력인증 신청
20220531,20220603,기초교과(구 핵심교양) 이수면제 신청
20220531,20220610,사회봉사학점 인정 신청(서울)
20220531,20220610,교원자격무시험검정 신청(후기)
20220602,20220622,1학기 강의평가
20220614,20220620,1학기 학기말시험
20220614,20220628,1학기 성적 열람(강의평가자. 6/26~6/28제외)
20220621,20220712,하계 계절제 수업
20220621,20220830,하계 방학
20220629,20220701,1학기 성적 열람 및 공시
20220706,20220711,2학기 전과 신청
20220712,20220722,2학기 복학 신청
20220713,20220719,2학기 수강희망과목담기
20220725,20220729,하계 집중휴무 (Eco-Friendly Campus Week)
20220801,20220805,2020학년도 후기 졸업사정
20220802,20220819,2학기 휴학 신청
20220805,20220812,2학기 수강신청
20220817,20220817,2021학년도 후기 학위수여식(70회)
20220822,20220826,2학기 등록
20220901,20220901,개강 (학기 개시일)
20220901,20220907,수강신청 확인 및 정정
20220908,20220913,수강학점철회 신청
20220914,20220923,학점포기 신청
20220923,20220923,휴학신청 마감
20220926,20221004,교직 복수전공 신청
20220926,20221021,2023학년도 교직 교육실습 신청
20221004,20221011,2022학년도 전기 예비졸업사정
20221005,20221011,다전공. 트랙 신청 및 포기. 본전공신청
20221012,20221014,조기졸업. 부전공 신청
20221019,20221025,2학기 중간시험
20221114,20221118,2023학년도1학기 재입학 신청
20221114,20221125,사회봉사학점 인정 신청(국제)
20221128,20221202,졸업능력인증 신청
20221128,20221202,기초교과(구 핵심교양) 이수면제 신청
20221128,20221209,교원자격무시험검정 신청(전기)
20221128,20221209,사회봉사학점 인정 신청(서울)
20221201,20221221,2학기 강의평가
20221214,20221220,2학기 학기말시험
20221214,20221228,2학기 성적 열람(강의평가자. 12/25~27제외)
20221221,20230111,동계 계절학기 수업
20221221,20230227,동계 방학
20221229,20230102,2학기 성적 열람 및 공시
20230105,20230110,2023학년도 1학기 전과 신청
20230111,20230117,2023학년도 1학기 수강희망과목담기
20230111,20230123,2023학년도 1학기 복학 신청
20230117,20230203,2022학년도 전기 졸업사정
20230123,20230127,동계 집중휴무 (Eco-Friendly Campus Week)
20230202,20230217,2023학년도 1학기 휴학 신청
20230206,20230210,2023학년도 1학기 수강신청
20230215,20230215,2022학년도 전기학위수여식(71회)
20230220,20230224,2023학년도 1학기 등록



